 ./electrum-meowcoin-v2.1.0-24-gf18eaa7c3-dirty-x86_64.AppImage --oneserver --server meowelectrum2.testtopper.biz:50002:s -v 
 79.81 | I | blockchain.Blockchain | LWMA: height=1622887, detected algo=scrypt from header
 79.81 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.81 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.81 | I | blockchain.Blockchain | LWMA: height=1622887, algo=scrypt, found=4/91, need more headers
 79.81 | I | blockchain.Blockchain | LWMA: height=1622888, detected algo=scrypt from header
 79.81 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.81 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.81 | I | blockchain.Blockchain | LWMA: height=1622888, algo=scrypt, found=5/91, need more headers
 79.81 | I | blockchain.Blockchain | LWMA: height=1622889, detected algo=scrypt from header
 79.81 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.81 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.81 | I | blockchain.Blockchain | LWMA: height=1622889, algo=scrypt, found=6/91, need more headers
 79.81 | I | blockchain.Blockchain | LWMA: height=1622890, detected algo=meowpow from header
 79.81 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.81 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.81 | I | blockchain.Blockchain | LWMA: height=1622890, algo=meowpow, found=3/91, need more headers
 79.81 | I | blockchain.Blockchain | LWMA: height=1622891, detected algo=scrypt from header
 79.81 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.81 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.81 | I | blockchain.Blockchain | LWMA: height=1622891, algo=scrypt, found=7/91, need more headers
 79.81 | I | blockchain.Blockchain | LWMA: height=1622892, detected algo=scrypt from header
 79.81 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.81 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.81 | I | blockchain.Blockchain | LWMA: height=1622892, algo=scrypt, found=8/91, need more headers
 79.81 | I | blockchain.Blockchain | LWMA: height=1622893, detected algo=scrypt from header
 79.81 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.81 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.81 | I | blockchain.Blockchain | LWMA: height=1622893, algo=scrypt, found=9/91, need more headers
 79.81 | I | blockchain.Blockchain | LWMA: height=1622894, detected algo=scrypt from header
 79.81 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.81 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.81 | I | blockchain.Blockchain | LWMA: height=1622894, algo=scrypt, found=10/91, need more headers
 79.81 | I | blockchain.Blockchain | LWMA: height=1622895, detected algo=scrypt from header
 79.81 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.81 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.81 | I | blockchain.Blockchain | LWMA: height=1622895, algo=scrypt, found=11/91, need more headers
 79.81 | I | blockchain.Blockchain | LWMA: height=1622896, detected algo=scrypt from header
 79.81 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.81 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.81 | I | blockchain.Blockchain | LWMA: height=1622896, algo=scrypt, found=12/91, need more headers
 79.81 | I | blockchain.Blockchain | LWMA: height=1622897, detected algo=meowpow from header
 79.81 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.81 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.81 | I | blockchain.Blockchain | LWMA: height=1622897, algo=meowpow, found=4/91, need more headers
 79.81 | I | blockchain.Blockchain | LWMA: height=1622898, detected algo=scrypt from header
 79.81 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.81 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.81 | I | blockchain.Blockchain | LWMA: height=1622898, algo=scrypt, found=13/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622899, detected algo=meowpow from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622899, algo=meowpow, found=5/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622900, detected algo=scrypt from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622900, algo=scrypt, found=14/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622901, detected algo=scrypt from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622901, algo=scrypt, found=15/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622902, detected algo=meowpow from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622902, algo=meowpow, found=6/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622903, detected algo=scrypt from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622903, algo=scrypt, found=16/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622904, detected algo=scrypt from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622904, algo=scrypt, found=17/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622905, detected algo=meowpow from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622905, algo=meowpow, found=7/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622906, detected algo=scrypt from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622906, algo=scrypt, found=18/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622907, detected algo=scrypt from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622907, algo=scrypt, found=19/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622908, detected algo=scrypt from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622908, algo=scrypt, found=20/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622909, detected algo=meowpow from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622909, algo=meowpow, found=8/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622910, detected algo=scrypt from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622910, algo=scrypt, found=21/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622911, detected algo=scrypt from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622911, algo=scrypt, found=22/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622912, detected algo=meowpow from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
